0, 1000, 486, 513
512, 1000, 602, 395
1, 1000, 399, 601
1024, 1000, 594, 405
1536, 1000, 683, 317
1025, 1000, 482, 518
2, 1000, 429, 570
514, 1000, 538, 460
3, 1000, 305, 694
2048, 1000, 612, 385
2560, 1000, 704, 295
2049, 1000, 500, 498
3072, 1000, 709, 290
3584, 1000, 1000, 0
3073, 1000, 611, 389
2050, 1000, 537, 460
2562, 1000, 671, 324
2051, 1000, 383, 614
4, 1000, 384, 616
516, 1000, 521, 476
5, 1000, 292, 707
1028, 1000, 471, 528
1540, 1000, 618, 379
1029, 1000, 326, 670
6, 1000, 265, 734
518, 1000, 368, 629
7, 1000, 0, 1000
4096, 1000, 579, 420
4608, 1000, 707, 292
4097, 1000, 444, 552
5120, 1000, 613, 387
5632, 1000, 768, 232
5121, 1000, 532, 466
4098, 1000, 498, 502
4610, 1000, 666, 334
4099, 1000, 353, 646
6144, 1000, 640, 358
6656, 1000, 788, 210
6145, 1000, 540, 455
7168, 1000, 750, 250
7680, 1000, 1000, 0
7169, 1000, 629, 368
6146, 1000, 586, 411
6658, 1000, 750, 245
6147, 1000, 406, 594
4100, 1000, 471, 527
4612, 1000, 613, 387
4101, 1000, 320, 679
5124, 1000, 510, 489
5636, 1000, 716, 284
5125, 1000, 336, 660
4102, 1000, 359, 641
4614, 1000, 512, 488
4103, 1000, 0, 1000
8, 1000, 412, 588
520, 1000, 541, 457
9, 1000, 296, 703
1032, 1000, 492, 507
1544, 1000, 638, 360
1033, 1000, 354, 644
10, 1000, 384, 614
522, 1000, 485, 514
11, 1000, 233, 767
2056, 1000, 519, 477
2568, 1000, 647, 352
2057, 1000, 385, 615
3080, 1000, 661, 339
3592, 1000, 1000, 0
3081, 1000, 488, 512
2058, 1000, 488, 512
2570, 1000, 626, 371
2059, 1000, 296, 704
12, 1000, 376, 621
524, 1000, 493, 505
13, 1000, 204, 793
1036, 1000, 444, 552
1548, 1000, 591, 407
1037, 1000, 240, 755
14, 1000, 293, 707
526, 1000, 365, 631
15, 1000, 0, 1000
8192, 1000, 657, 342
8704, 1000, 751, 247
8193, 1000, 542, 458
9216, 1000, 744, 253
9728, 1000, 854, 146
9217, 1000, 664, 333
8194, 1000, 581, 416
8706, 1000, 694, 301
8195, 1000, 442, 558
10240, 1000, 734, 265
10752, 1000, 824, 175
10241, 1000, 640, 354
11264, 1000, 850, 149
11776, 1000, 1000, 0
11265, 1000, 776, 223
10242, 1000, 682, 317
10754, 1000, 777, 221
10243, 1000, 556, 444
8196, 1000, 543, 456
8708, 1000, 646, 354
8197, 1000, 386, 610
9220, 1000, 669, 327
9732, 1000, 796, 203
9221, 1000, 509, 485
8198, 1000, 394, 604
8710, 1000, 510, 488
8199, 1000, 0, 1000
12288, 1000, 721, 278
12800, 1000, 843, 156
12289, 1000, 662, 335
13312, 1000, 792, 206
13824, 1000, 918, 82
13313, 1000, 734, 262
12290, 1000, 652, 346
12802, 1000, 795, 204
12291, 1000, 524, 472
14336, 1000, 781, 215
14848, 1000, 883, 116
14337, 1000, 701, 295
15360, 1000, 871, 127
15872, 1000, 1000, 0
15361, 1000, 810, 185
14338, 1000, 744, 250
14850, 1000, 839, 158
14339, 1000, 592, 402
12292, 1000, 647, 351
12804, 1000, 772, 228
12293, 1000, 502, 495
13316, 1000, 738, 260
13828, 1000, 858, 142
13317, 1000, 580, 414
12294, 1000, 500, 500
12806, 1000, 684, 316
12295, 1000, 0, 1000
8200, 1000, 582, 417
8712, 1000, 662, 337
8201, 1000, 407, 592
9224, 1000, 690, 308
9736, 1000, 819, 179
9225, 1000, 524, 469
8202, 1000, 526, 472
8714, 1000, 650, 350
8203, 1000, 339, 661
10248, 1000, 682, 317
10760, 1000, 803, 194
10249, 1000, 542, 458
11272, 1000, 805, 195
11784, 1000, 1000, 0
11273, 1000, 655, 345
10250, 1000, 612, 385
10762, 1000, 739, 260
10251, 1000, 435, 565
8204, 1000, 507, 491
8716, 1000, 632, 365
8205, 1000, 315, 684
9228, 1000, 596, 399
9740, 1000, 743, 256
9229, 1000, 398, 593
8206, 1000, 396, 601
8718, 1000, 528, 464
8207, 1000, 0, 1000
16, 1000, 374, 623
528, 1000, 462, 536
17, 1000, 244, 754
1040, 1000, 393, 607
1552, 1000, 565, 435
1041, 1000, 312, 681
18, 1000, 279, 721
530, 1000, 347, 650
19, 1000, 140, 860
2064, 1000, 427, 570
2576, 1000, 611, 388
2065, 1000, 332, 666
3088, 1000, 592, 408
3600, 1000, 1000, 0
3089, 1000, 458, 538
2066, 1000, 341, 654
2578, 1000, 477, 521
2067, 1000, 214, 781
20, 1000, 264, 734
532, 1000, 333, 664
21, 1000, 149, 851
1044, 1000, 298, 697
1556, 1000, 452, 548
1045, 1000, 200, 794
22, 1000, 140, 859
534, 1000, 224, 773
23, 1000, 0, 1000
4112, 1000, 453, 545
4624, 1000, 585, 414
4113, 1000, 296, 700
5136, 1000, 457, 542
5648, 1000, 668, 332
5137, 1000, 345, 652
4114, 1000, 342, 658
4626, 1000, 456, 542
4115, 1000, 198, 800
6160, 1000, 514, 484
6672, 1000, 681, 317
6161, 1000, 376, 619
7184, 1000, 604, 394
7696, 1000, 1000, 0
7185, 1000, 492, 499
6162, 1000, 388, 611
6674, 1000, 563, 431
6163, 1000, 255, 742
4116, 1000, 287, 713
4628, 1000, 447, 553
4117, 1000, 211, 786
5140, 1000, 347, 652
5652, 1000, 536, 464
5141, 1000, 257, 738
4118, 1000, 209, 791
4630, 1000, 319, 681
4119, 1000, 0, 1000
24, 1000, 285, 714
536, 1000, 370, 629
25, 1000, 167, 832
1048, 1000, 307, 687
1560, 1000, 489, 507
1049, 1000, 201, 799
26, 1000, 188, 809
538, 1000, 243, 755
27, 1000, 91, 909
2072, 1000, 314, 685
2584, 1000, 496, 501
2073, 1000, 229, 771
3096, 1000, 488, 512
3608, 1000, 1000, 0
3097, 1000, 344, 656
2074, 1000, 260, 737
2586, 1000, 407, 589
2075, 1000, 135, 865
28, 1000, 204, 792
540, 1000, 270, 726
29, 1000, 128, 871
1052, 1000, 263, 733
1564, 1000, 389, 601
1053, 1000, 171, 825
30, 1000, 140, 860
542, 1000, 195, 802
31, 1000, 0, 1000
16384, 1000, 582, 417
16896, 1000, 622, 377
16385, 1000, 460, 540
17408, 1000, 632, 368
17920, 1000, 713, 285
17409, 1000, 502, 495
16386, 1000, 494, 504
16898, 1000, 563, 435
16387, 1000, 377, 623
18432, 1000, 701, 298
18944, 1000, 804, 194
18433, 1000, 612, 388
19456, 1000, 768, 232
19968, 1000, 1000, 0
19457, 1000, 700, 300
18434, 1000, 657, 342
18946, 1000, 731, 268
18435, 1000, 485, 515
16388, 1000, 460, 538
16900, 1000, 516, 480
16389, 1000, 353, 646
17412, 1000, 523, 474
17924, 1000, 617, 377
17413, 1000, 351, 638
16390, 1000, 343, 655
16902, 1000, 431, 565
16391, 1000, 0, 1000
20480, 1000, 663, 337
20992, 1000, 783, 217
20481, 1000, 586, 411
21504, 1000, 713, 287
22016, 1000, 812, 188
21505, 1000, 572, 428
20482, 1000, 612, 388
20994, 1000, 725, 273
20483, 1000, 462, 538
22528, 1000, 752, 248
23040, 1000, 862, 138
22529, 1000, 691, 309
23552, 1000, 803, 197
24064, 1000, 1000, 0
23553, 1000, 754, 246
22530, 1000, 727, 273
23042, 1000, 833, 164
22531, 1000, 561, 439
20484, 1000, 582, 418
20996, 1000, 689, 311
20485, 1000, 455, 544
21508, 1000, 596, 402
22020, 1000, 755, 245
21509, 1000, 466, 533
