0, 0.501
512, 0.3972
1, 0.6067
1024, 0.432
1536, 0.2887
1025, 0.5351
2, 0.5703
514, 0.4693
3, 0.7115
2048, 0.3983
2560, 0.2586
2049, 0.5037
3072, 0.2898
3584, 0
3073, 0.3844
2050, 0.4604
2562, 0.3188
2051, 0.6211
4, 0.5978
516, 0.5075
5, 0.7355
1028, 0.5366
1540, 0.3793
1029, 0.6744
6, 0.7161
518, 0.6246
7, 1
4096, 0.4227
4608, 0.2988
4097, 0.5453
5120, 0.3929
5632, 0.216
5121, 0.4825
4098, 0.4968
4610, 0.348
4099, 0.6554
6144, 0.3633
6656, 0.2042
6145, 0.4646
7168, 0.2826
7680, 0
7169, 0.3749
6146, 0.4261
6658, 0.2517
6147, 0.5822
4100, 0.5269
4612, 0.3797
4101, 0.6761
5124, 0.4878
5636, 0.295
5125, 0.6424
4102, 0.6474
4614, 0.492
4103, 1
8, 0.5574
520, 0.4688
9, 0.7087
1032, 0.4962
1544, 0.3502
1033, 0.6488
10, 0.6104
522, 0.5065
11, 0.7911
2056, 0.465
2568, 0.328
2057, 0.6276
3080, 0.3494
3592, 0
3081, 0.4995
2058, 0.5092
2570, 0.3655
2059, 0.7021
12, 0.6406
524, 0.5294
13, 0.7933
1036, 0.568
1548, 0.4094
1037, 0.7479
14, 0.7116
526, 0.6318
15, 1
8192, 0.354
8704, 0.2465
8193, 0.4597
9216, 0.2625
9728, 0.1481
9217, 0.3476
8194, 0.4301
8706, 0.308
8195, 0.5873
10240, 0.2567
10752, 0.1684
10241, 0.3493
11264, 0.1512
11776, 0
11265, 0.2242
10242, 0.3155
10754, 0.2114
10243, 0.46
8196, 0.4661
8708, 0.3452
8197, 0.603
9220, 0.3407
9732, 0.2281
9221, 0.4921
8198, 0.5824
8710, 0.459
8199, 1
12288, 0.2578
12800, 0.1525
12289, 0.3514
13312, 0.1911
13824, 0.0853
13313, 0.2717
12290, 0.3126
12802, 0.197
12291, 0.4766
14336, 0.2085
14848, 0.1238
14337, 0.2871
15360, 0.1257
15872, 0
15361, 0.1793
14338, 0.2573
14850, 0.1714
14339, 0.3955
12292, 0.3486
12804, 0.2303
12293, 0.4909
13316, 0.2727
13828, 0.1452
13317, 0.4075
12294, 0.4721
12806, 0.3335
12295, 1
8200, 0.4145
8712, 0.3103
8201, 0.5849
9224, 0.3283
9736, 0.1946
9225, 0.4721
8202, 0.4688
8714, 0.3564
8203, 0.6801
10248, 0.3129
10760, 0.2151
10249, 0.4614
11272, 0.1991
11784, 0
11273, 0.3408
10250, 0.3461
10762, 0.2486
10251, 0.5528
8204, 0.5013
8716, 0.3709
8205, 0.6836
9228, 0.3842
9740, 0.2454
9229, 0.5638
8206, 0.59
8718, 0.4725
8207, 1
16, 0.6442
528, 0.5307
17, 0.7448
1040, 0.5725
1552, 0.419
1041, 0.6897
18, 0.7356
530, 0.6482
19, 0.8443
2064, 0.5337
2576, 0.3888
2065, 0.6569
3088, 0.4227
3600, 0
3089, 0.5358
2066, 0.645
2578, 0.4987
2067, 0.7805
20, 0.7409
532, 0.66
21, 0.8365
1044, 0.6924
1556, 0.5303
1045, 0.7868
22, 0.8437
534, 0.7691
23, 1
4112, 0.5736
4624, 0.4198
4113, 0.6917
5136, 0.532
5648, 0.3129
5137, 0.6435
4114, 0.6809
4626, 0.524
4115, 0.7993
6160, 0.495
6672, 0.3186
6161, 0.6102
7184, 0.4039
7696, 0
7185, 0.5237
6162, 0.6104
6674, 0.4278
6163, 0.7482
4116, 0.6919
4628, 0.5426
4117, 0.7916
5140, 0.6486
5652, 0.4514
5141, 0.7513
4118, 0.803
4630, 0.6699
4119, 1
24, 0.738
536, 0.6517
25, 0.8496
1048, 0.6825
1560, 0.5288
1049, 0.8044
26, 0.8132
538, 0.7197
27, 0.9087
2072, 0.6517
2584, 0.4968
2073, 0.7795
3096, 0.5346
3608, 0
3097, 0.664
2074, 0.7247
2586, 0.5974
2075, 0.8539
28, 0.802
540, 0.7173
29, 0.8749
1052, 0.739
1564, 0.5905
1053, 0.8244
30, 0.8734
542, 0.8045
31, 1
16384, 0.4414
16896, 0.3644
16385, 0.5298
17408, 0.3881
17920, 0.2831
17409, 0.4915
16386, 0.4883
16898, 0.4267
16387, 0.6579
18432, 0.2884
18944, 0.2091
18433, 0.3771
19456, 0.2186
19968, 0
19457, 0.298
18434, 0.3475
18946, 0.2563
18435, 0.5085
16388, 0.5378
16900, 0.4633
16389, 0.6717
17412, 0.487
17924, 0.3723
17413, 0.6347
16390, 0.6525
16902, 0.5824
16391, 1
20480, 0.3171
20992, 0.233
20481, 0.4086
21504, 0.3142
22016, 0.1895
21505, 0.3962
20482, 0.3765
20994, 0.279
20483, 0.527
22528, 0.219
23040, 0.1234
22529, 0.3083
23552, 0.1898
24064, 0
23553, 0.2665
22530, 0.2802
23042, 0.1686
22531, 0.4184
20484, 0.4152
20996, 0.3266
20485, 0.5596
21508, 0.4
22020, 0.2637
21509, 0.5318
20486, 0.523
20998, 0.4324
20487, 1
16392, 0.4993
16904, 0.4215
16393, 0.6542
17416, 0.4552
17928, 0.3388
17417, 0.6069
16394, 0.5519
16906, 0.4694
16395, 0.7311
18440, 0.3525
18952, 0.2543
18441, 0.4976
19464, 0.2737
19976, 0
19465, 0.4094
18442, 0.3977
18954, 0.2993
18443, 0.583
16396, 0.5725
16908, 0.506
16397, 0.7493
17420, 0.5201
17932, 0.4113
17421, 0.6932
16398, 0.6582
16910, 0.5894
16399, 1
24576, 0.269
25088, 0.1997
24577, 0.3497
25600, 0.1908
26112, 0.1302
25601, 0.266
24578, 0.3175
25090, 0.2546
24579, 0.4681
26624, 0.1506
27136, 0.1327
26625, 0.22
27648, 0.0888
28160, 0
27649, 0.1405
26626, 0.192
27138, 0.1693
26627, 0.3345
24580, 0.3548
25092, 0.2827
24581, 0.4958
25604, 0.2745
26116, 0.1908
25605, 0.4021
24582, 0.4765
25094, 0.401
24583, 1
28672, 0
29184, 0
28673, 0
29696, 0
30208, 0
29697, 0
28674, 0
29186, 0
28675, 0
30720, 0
31232, 0
30721, 0
31744, 0
32256, 0
31745, 0
30722, 0
31234, 0
30723, 0
28676, 0
29188, 0
28677, 0
29700, 0
30212, 0
29701, 0
28678, 0
29190, 0
28679, 0
24584, 0.3169
25096, 0.2507
24585, 0.4634
25608, 0.2471
26120, 0.1758
25609, 0.3835
24586, 0.3532
25098, 0.2834
24587, 0.5704
26632, 0.2023
27144, 0.1669
26633, 0.3391
27656, 0.127
28168, 0
27657, 0.2523
26634, 0.2331
27146, 0.1966
26635, 0.4279
24588, 0.3829
25100, 0.3202
24589, 0.5691
